G,W,ORB,FTR,2P_O,3P_O,P_V
40,33,40.7,32.3,53.9,32.7,0.825
40,36,32.1,36.2,54.8,36.5,0.9
40,33,25.5,30.7,54.7,35.2,0.825
38,31,27.4,32.9,52.8,36.5,0.8157894736842105
39,37,30.0,39.0,56.3,38.2,0.9487179487179487
40,29,42.0,51.8,50.0,33.2,0.725
38,30,32.5,28.4,53.4,37.9,0.7894736842105263
39,35,35.8,39.8,55.9,38.7,0.8974358974358975
38,35,30.4,29.1,52.5,39.5,0.9210526315789473
39,33,41.3,34.3,51.0,35.5,0.8461538461538461
40,35,28.2,34.1,57.4,36.2,0.875
40,36,29.6,29.4,59.0,40.1,0.9
40,32,30.4,38.3,48.1,38.7,0.8
40,35,38.2,40.0,50.8,33.3,0.875
36,27,34.7,38.7,48.4,30.7,0.75
38,32,27.9,36.7,58.2,39.0,0.8421052631578947
36,24,32.7,32.9,52.9,37.4,0.6666666666666666
37,29,29.9,32.1,52.6,40.3,0.7837837837837838
37,29,38.8,34.6,56.0,37.2,0.7837837837837838
35,23,32.3,37.0,53.6,35.0,0.6571428571428571
38,32,35.6,33.2,58.0,30.8,0.8421052631578947
36,26,34.5,29.9,51.5,37.4,0.7222222222222222
37,32,32.2,38.6,52.7,41.3,0.8648648648648649
36,31,34.1,36.0,53.6,40.4,0.8611111111111112
37,25,25.9,33.8,53.4,34.1,0.6756756756756757
37,27,32.9,39.3,51.1,35.9,0.7297297297297297
38,24,34.5,41.1,52.0,34.5,0.631578947368421
38,34,34.5,47.1,53.3,36.0,0.8947368421052632
37,30,34.1,40.3,52.6,34.4,0.8108108108108109
36,27,32.1,40.2,50.3,35.9,0.75
38,32,33.5,40.9,52.9,35.3,0.8421052631578947
37,30,36.8,41.9,52.9,35.4,0.8108108108108109
37,34,33.9,38.7,57.0,40.0,0.918918918918919
37,33,31.5,35.3,61.4,36.3,0.8918918918918919
38,33,36.4,41.0,50.7,36.4,0.868421052631579
37,28,29.4,34.9,52.7,40.2,0.7567567567567568
38,29,32.9,33.7,52.1,39.2,0.7631578947368421
37,26,33.9,40.6,50.4,37.7,0.7027027027027027
37,29,31.8,35.5,49.4,35.6,0.7837837837837838
36,30,28.8,39.2,50.8,39.9,0.8333333333333334
35,26,38.4,40.9,51.6,29.6,0.7428571428571429
37,29,34.2,31.0,54.3,37.8,0.7837837837837838
37,23,33.5,35.4,47.2,36.0,0.6216216216216216
39,27,33.5,32.7,50.8,38.5,0.6923076923076923
39,32,33.9,33.6,54.3,37.8,0.8205128205128205
37,29,31.2,33.0,48.2,42.2,0.7837837837837838
39,31,29.4,27.0,55.6,40.1,0.7948717948717948
37,32,22.1,32.2,56.6,39.8,0.8648648648648649
38,33,32.4,34.4,54.5,38.0,0.868421052631579
39,38,39.5,43.9,51.2,34.9,0.9743589743589743
36,26,34.0,40.2,45.9,33.4,0.7222222222222222
39,30,31.6,30.9,51.7,38.1,0.7692307692307693
39,36,35.3,42.4,51.3,35.9,0.9230769230769231
38,30,28.1,42.7,51.3,37.6,0.7894736842105263
40,30,38.8,36.8,48.5,33.4,0.75
39,30,38.0,36.5,49.6,33.9,0.7692307692307693
30,11,31.7,32.5,49.5,36.2,0.36666666666666664
30,9,33.4,33.1,47.8,29.8,0.3
30,8,35.9,41.1,44.9,31.6,0.26666666666666666
35,22,35.5,39.9,47.3,35.2,0.6285714285714286
33,17,29.6,36.4,46.1,32.1,0.5151515151515151
32,17,34.0,42.4,48.4,29.6,0.53125
32,22,32.3,47.3,50.1,30.5,0.6875
35,21,22.2,32.9,52.8,34.0,0.6
31,13,31.5,35.2,45.5,29.9,0.41935483870967744
31,10,27.2,41.5,45.2,32.0,0.3225806451612903
31,18,35.0,37.9,47.1,31.4,0.5806451612903226
32,19,24.9,32.3,51.1,35.5,0.59375
33,16,27.9,33.6,53.1,36.6,0.48484848484848486
30,16,30.4,33.6,51.2,34.6,0.5333333333333333
32,11,33.5,34.4,45.7,29.2,0.34375
38,28,34.4,39.1,48.4,37.1,0.7368421052631579
30,8,24.9,30.9,45.4,33.6,0.26666666666666666
32,14,25.9,36.5,48.8,33.0,0.4375
32,17,30.6,37.6,48.3,36.5,0.53125
32,16,23.2,35.2,55.4,35.6,0.5
32,11,20.7,37.8,46.9,32.8,0.34375
31,22,31.3,37.5,48.8,37.3,0.7096774193548387
32,17,25.1,31.5,51.9,34.1,0.53125
32,10,29.0,37.1,48.3,33.4,0.3125
31,13,23.4,26.7,47.4,33.2,0.41935483870967744
33,20,31.6,39.7,48.5,34.2,0.6060606060606061
35,20,32.7,36.6,45.6,37.1,0.5714285714285714
30,15,25.7,38.3,52.4,36.4,0.5
33,15,28.1,34.6,53.3,29.7,0.45454545454545453
35,22,20.7,31.6,55.6,34.2,0.6285714285714286
31,11,29.8,40.1,45.7,32.4,0.3548387096774194
33,12,24.2,34.4,44.3,34.2,0.36363636363636365
32,20,33.0,42.4,48.5,34.8,0.625
31,14,25.8,31.8,59.5,33.7,0.45161290322580644
32,16,33.0,35.4,47.8,35.0,0.5
31,9,18.8,26.9,52.1,28.8,0.2903225806451613
33,16,27.9,31.8,49.1,32.6,0.48484848484848486
33,15,31.7,28.9,50.2,32.1,0.45454545454545453
